                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1078,                 3.2876,                 1.3339,                0.60869,                0.44816,                0.47053,                0.37493,                0.81829,                 1.9058,                  1.049,               0.070484,              0.0032796,              0.0032796
                      1,                 0.8535,                 1.3508,                 1.1311,                0.74293,                0.64449,                0.73768,                0.60377,                0.76078,                 1.0748,                0.99471,               0.040375,              0.0065038,              0.0065038
                      2,                0.86891,                 1.2448,                 1.1134,                0.53419,                0.48693,                0.48674,                0.35265,                 1.0056,                 2.1924,                  1.119,               0.010156,               0.009618,               0.009618
                      3,                0.87204,                 1.1714,                 1.1087,                0.75068,                 0.5573,                0.65031,                0.51287,                0.87608,                 1.3667,                   1.09,               0.009505,               0.009505,               0.009505
                      4,                0.94603,                 1.1681,                 1.1446,                0.67096,                0.62983,                0.66224,                0.50161,                0.95345,                 1.3118,                 1.1016,               0.009505,               0.009505,               0.009505
                      5,                0.91988,                 1.0773,                 1.1197,                0.74015,                0.68147,                0.73813,                0.58284,                0.80363,                 1.0365,                 1.0317,                0.00934,                0.00934,                0.00934
                      6,                0.93015,                 1.0502,                 1.1359,                 0.8018,                0.65912,                0.74346,                0.56134,                 0.8906,                 1.0928,                 1.0803,               0.009175,               0.009175,               0.009175
                      7,                0.90258,                 1.0019,                 1.1138,                0.71131,                0.67485,                0.72447,                0.55497,                0.89217,                  1.117,                 1.0843,                0.00901,                0.00901,                0.00901
                      8,                0.89439,                0.94588,                 1.1006,                0.77318,                0.73996,                0.80798,                0.63513,                0.80706,                0.87202,                 1.0598,               0.008845,               0.008845,               0.008845
                      9,                 0.8904,                0.92659,                 1.1007,                0.73818,                0.68256,                 0.7461,                0.58358,                0.83158,                 1.0843,                 1.0375,                0.00868,                0.00868,                0.00868
                     10,                0.88052,                0.92919,                 1.1043,                0.84625,                0.70911,                0.81297,                0.66898,                0.77267,                0.86286,                  1.008,               0.008515,               0.008515,               0.008515
                     11,                 0.8694,                0.91152,                 1.1023,                0.79874,                0.74685,                0.80976,                0.63712,                0.81933,                0.87875,                 1.0437,                0.00835,                0.00835,                0.00835
                     12,                0.85512,                0.87663,                 1.0935,                0.85935,                0.70557,                0.80651,                0.63986,                0.79075,                0.84632,                 1.0216,               0.008185,               0.008185,               0.008185
